bookid,title,author,myrating,avgrating,dateread,shelves,ratings,elo
25035100,The Sellout,Paul Beatty,5,3.77,2020-03-29,"fiction, los-angeles",5,1265.4236320163002
46136224,Uncanny Valley,Anna Wiener,3,3.77,2020-02-16,"non-fiction, bay-area",3,1265.0085079723444
45025308,She Said: Breaking the Sexual Harassment Story That Helped Ignite a Movement,"Jodi Kantor, Megan Twohey",4,4.41,2019-10-01,non-fiction,3,1263.7660284195292
75406,The Breaks of the Game,David Halberstam,5,4.18,2013-08-31,"non-fiction, sports, basketball",4,1261.8013863579292
37822468,Big Game: The NFL in Dangerous Times,Mark Leibovich,3,3.64,2018-11-10,"non-fiction, sports",8,1251.0205132480717
43811457,"The National Team: The Inside Story of the Women Who Dreamed Big, Defied the Odds, and Changed Soccer",Caitlin Murray,4,4.52,2019-06-04,"non-fiction, sports, soccer",4,1248.2217973701186
879746,"Amateur City (Kate Delafield, #1)",Katherine V. Forrest,3,3.75,2020-03-07,"fiction, los-angeles",6,1246.5813540619104
38472277,Severance,Ling Ma,5,3.88,2019-11-17,fiction,3,1245.7487330346314
39935873,Soccer in Sun and Shadow,"Eduardo Galeano, Mark Fried",5,4.18,2019-08-19,"non-fiction, sports, soccer",10,1242.4732529338644
21284468,"The Monopolists: Obsession, Fury, and the Scandal Behind the World's Favorite Board Game",Mary Pilon,4,3.67,2019-02-13,non-fiction,2,1241.230231810206
43886896,Beijing Payback,Daniel Nieh,3,3.39,2020-03-17,"fiction, los-angeles",4,1241.0976429469065
36247169,Educated,Tara Westover,5,4.47,2019-11-12,"non-fiction, biographical",5,1232.0323531519373
39507318,The Library Book,Susan Orlean,5,3.93,2018-12-31,"non-fiction, los-angeles",5,1232.0126229567593
18693884,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,4,3.96,2016-05-26,non-fiction,1,1230.4424632889438
19643530,"Inner City Blues (Charlotte Justice, #1)",Paula L. Woods,4,3.6,2020-03-13,"fiction, los-angeles",3,1229.1944631365836
36288143,Brotopia: Breaking Up the Boys' Club of Silicon Valley,Emily Chang,4,4,2019-04-17,"non-fiction, bay-area",2,1219.307030069099
37938327,University of Nike: How Corporate Cash Bought American Higher Education,Joshua Hunt,3,3.82,2019-01-15,non-fiction,4,1216.191077592433
75639,A Season on the Brink: A Year with Bob Knight and the Indiana Hoosiers,John Feinstein,5,4.12,2017-03-15,"non-fiction, sports, basketball",4,1214.1133218289751
43615778,Your House Will Pay,Steph Cha,5,4.12,2020-02-07,"fiction, los-angeles",3,1202.824415051684
21412175,The Best Team Money Can Buy,Molly Knight,2,3.98,2015-07-23,"non-fiction, los-angeles, sports, baseball",5,1201.1101799415683
36687335,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,5,3.98,2019-05-27,non-fiction,0,1200
2082136,Bonk: The Curious Coupling of Science and Sex,Mary Roach,4,3.84,2016-04-08,non-fiction,0,1200
43457351,The Tenth Muse,Catherine Chung,4,4.05,2019-09-15,fiction,0,1200
36692478,There There,Tommy Orange,5,3.98,2019-04-29,"fiction, bay-area",0,1200
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner",5,3.97,2015-06-28,non-fiction,2,1197.171463944794
44000528,Range: Why Generalists Triumph in a Specialized World,David Epstein,3,4.18,2019-08-29,non-fiction,1,1192.912914178879
20508,Kill the Messenger: How the CIA's Crack-Cocaine Controversy Destroyed Journalist Gary Webb,"Nick Schou, Charles Bowden",2,3.75,2019-03-04,non-fiction,2,1183.9661669788793
52654714,Thinking Inside the Box: Adventures with Crosswords and the Puzzling People Who Can't Live Without Them,Adrienne Raphel,3,4.23,2020-04-16,non-fiction,1,1183.263693206478
